name,constellation,magnitude,ra,dec
HIP 2035,Pegasus,5.22,10.94503,86.66273
HIP 2036,Aquarius,3.64,13.95511,74.7643
HIP 2037,Lyra,1.91,9.25084,-8.44071
HIP 2038,Draco,7.44,4.55632,24.56233
HIP 2039,Andromeda,5.34,22.57908,-22.80375
HIP 2040,Scorpius,2.23,17.8257,33.83833
HIP 2041,Ursa Major,7.17,8.89616,26.48127
HIP 2042,Aquarius,3.34,0.88783,26.01693
HIP 2043,Draco,4.36,7.71155,-32.42704
HIP 2044,Cygnus,3.18,17.62429,87.50119
HIP 2045,Taurus,1.06,17.00269,-62.88793
HIP 2046,Aquarius,5.79,10.62785,-18.97034
HIP 2047,Andromeda,3.37,18.9096,-3.47333
HIP 2048,Leo,7.08,16.98429,4.66911
HIP 2049,Andromeda,3.21,22.72648,-76.33531
HIP 2050,Cassiopeia,7.26,9.48986,70.93604
HIP 2051,Draco,5.28,17.1153,30.31094
HIP 2052,Aquarius,4.33,10.53645,56.65293
HIP 2053,Cassiopeia,4.77,16.8028,86.79772
HIP 2054,Aquarius,4.76,21.09337,25.84304
HIP 2055,Pegasus,5.55,8.61167,-5.06595
HIP 2056,Taurus,5.22,16.83552,-1.71378
HIP 2057,Andromeda,4.41,12.03369,-83.96781
HIP 2058,Ursa Major,5.13,13.0025,7.3888
HIP 2059,Andromeda,1.37,3.29689,-19.73767
HIP 2060,Ursa Major,2.61,20.65329,23.48127
HIP 2061,Scorpius,6.07,6.98456,-29.286
HIP 2062,Draco,1.68,11.29175,-65.67508
HIP 2063,Pegasus,3.83,9.37157,65.88944
HIP 2064,Cassiopeia,3.99,5.95658,6.28663
HIP 2065,Cygnus,2.88,18.08128,62.58223
HIP 2066,Cygnus,2.02,10.24576,-47.40707
HIP 2067,Taurus,2.38,5.25284,-48.59489
HIP 2068,Orion,1.64,9.74827,44.09412
HIP 2069,Pegasus,1.7,11.77171,85.06296
HIP 2070,Andromeda,2.68,4.80149,73.37203
HIP 2071,Andromeda,5.62,9.9246,87.49288
HIP 2072,Draco,2.32,15.40311,-72.74792
HIP 2073,Scorpius,5.72,5.25476,-67.53636
HIP 2074,Andromeda,2.37,15.87082,-41.954
HIP 2075,Taurus,1.97,1.04486,-77.77557
HIP 2076,Cygnus,6.94,6.4471,10.86248
HIP 2077,Cygnus,5.48,2.79901,8.67553
HIP 2078,Lyra,5.22,7.52508,-52.01534
HIP 2079,Pegasus,7.68,14.49802,-62.4352
HIP 2080,Orion,2.3,16.39837,-32.47641
HIP 2081,Cassiopeia,1.35,15.90428,-48.21349
HIP 2082,Draco,7.94,1.18315,44.19946
HIP 2083,Orion,6.1,12.9262,-19.62693
HIP 2084,Taurus,5.95,11.77033,0.45013
HIP 2085,Scorpius,1.14,18.32059,73.6792
HIP 2086,Scorpius,5.32,17.9715,-80.89446
HIP 2087,Taurus,1.9,21.13601,-2.01359
HIP 2088,Scorpius,6.19,15.8312,-72.18251
HIP 2089,Cassiopeia,7.82,1.72419,-17.54806
HIP 2090,Pegasus,5.43,6.09589,31.00417
HIP 2091,Lyra,5.22,12.57187,44.79349
HIP 2092,Ursa Major,7.95,5.06503,-17.15223
HIP 2093,Cassiopeia,1.11,2.74059,-44.62728
HIP 2094,Pegasus,4.02,15.87108,20.70317
HIP 2095,Draco,6,8.30123,-31.11375
HIP 2096,Ursa Major,2.62,16.6529,-16.55175
HIP 2097,Andromeda,5.31,9.36382,-8.5224
HIP 2098,Ursa Major,4,7.40525,-61.55397
HIP 2099,Cygnus,7.99,0.56828,53.94315
HIP 2100,Aquarius,3.07,8.61997,-81.18451
HIP 2101,Ursa Major,1.18,0.4573,23.89528
HIP 2102,Cygnus,7.6,9.13866,64.15842
HIP 2103,Orion,7.43,5.77369,-78.62305
HIP 2104,Andromeda,5.39,10.63978,83.70975
HIP 2105,Draco,3.41,23.0498,62.90161
HIP 2106,Pegasus,7.87,3.04544,-70.15057
HIP 2107,Lyra,3.42,1.49371,-86.12752
HIP 2108,Leo,6.94,10.29463,25.00514
HIP 2109,Pegasus,6.87,14.8876,19.7882
HIP 2110,Draco,5.42,8.49531,61.98913
HIP 2111,Leo,6.23,17.49917,32.03268
HIP 2112,Ursa Major,7.31,4.57291,-83.21998
HIP 2113,Scorpius,3.97,1.84196,-54.05663
HIP 2114,Andromeda,1.16,8.82823,-86.93624
HIP 2115,Cygnus,4.12,0.62789,47.21927
HIP 2116,Orion,2.49,18.78601,-8.45332
HIP 2117,Aquarius,4.06,23.52361,10.42626
HIP 2118,Andromeda,6.66,4.82286,-42.7201
HIP 2119,Taurus,1.55,1.42127,-63.36008
HIP 2120,Taurus,2.7,13.05324,2.64178
HIP 2121,Andromeda,1.75,20.54657,21.67062
HIP 2122,Scorpius,2.47,9.05301,31.5026
HIP 2123,Andromeda,5.82,5.65479,71.29213
HIP 2124,Aquarius,7.8,17.45564,-24.66259
HIP 2125,Orion,2.14,1.41426,74.75474
HIP 2126,Draco,5.04,6.96871,-2.84061
HIP 2127,Orion,1.43,11.4158,-25.6135
HIP 2128,Pegasus,3.57,20.53201,83.39837
HIP 2129,Lyra,2.3,1.54709,28.08346
HIP 2130,Cassiopeia,2.43,8.98989,20.59127
HIP 2131,Orion,3.98,12.46012,84.87761
HIP 2132,Cygnus,1.2,5.78408,-26.13274
HIP 2133,Aquarius,6.47,16.96078,89.52668
HIP 2134,Pegasus,6.99,3.02312,-50.05403
HIP 2135,Draco,7.87,3.49474,-46.01985
HIP 2136,Aquarius,2.79,18.40498,-38.37527
HIP 2137,Cassiopeia,1.17,16.39502,34.05317
HIP 2138,Draco,7.11,21.41238,33.16959
HIP 2139,Pegasus,6.31,21.11594,82.0734
HIP 2140,Andromeda,6.78,1.42946,51.67343
HIP 2141,Ursa Major,7.47,3.53822,37.21809
HIP 2142,Ursa Major,4.74,13.35181,79.25377
HIP 2143,Cassiopeia,6.55,10.28245,-1.07155
HIP 2144,Draco,6.96,2.87151,-57.0986
HIP 2145,Cassiopeia,2.34,15.2054,28.16732
HIP 2146,Draco,6.2,11.10337,80.52806
HIP 2147,Ursa Major,6.46,4.62429,-16.09364
HIP 2148,Scorpius,7.76,9.86175,-18.82637
HIP 2149,Draco,7.75,5.54706,64.41872
HIP 2150,Andromeda,5.72,14.78255,42.6495
HIP 2151,Leo,1.6,2.02876,3.71215
HIP 2152,Scorpius,5.36,5.6627,62.38955
HIP 2153,Aquarius,5.82,16.61914,37.29487
HIP 2154,Lyra,2.5,18.47546,-7.5607
HIP 2155,Taurus,5.48,9.75352,25.9919
HIP 2156,Orion,6.47,9.6291,88.49585
HIP 2157,Cygnus,3.41,7.47563,-46.7052
HIP 2158,Draco,1.99,16.91747,-55.91533
HIP 2159,Lyra,5.53,13.70608,-1.99416
HIP 2160,Pegasus,5.4,4.35363,84.82295
HIP 2161,Cassiopeia,4.89,10.51823,2.91243
HIP 2162,Cygnus,4.2,18.83269,30.38585
HIP 2163,Lyra,5.06,21.60832,-18.37827
HIP 2164,Aquarius,3.45,13.13434,60.6473
HIP 2165,Aquarius,6.61,6.04531,31.01627
HIP 2166,Taurus,1.91,11.91317,-67.30781
HIP 2167,Andromeda,6.61,7.09803,-15.14417
HIP 2168,Andromeda,5.44,21.21382,-41.40113
HIP 2169,Scorpius,3.99,17.37121,-3.77166
HIP 2170,Taurus,4.66,11.86872,40.1783
HIP 2171,Draco,3.81,12.0047,23.81542
HIP 2172,Andromeda,6.58,11.28868,62.01177
HIP 2173,Andromeda,4.69,5.33805,-19.40449
HIP 2174,Leo,5.87,1.94341,-63.5736
HIP 2175,Scorpius,2.68,15.71804,-29.82717
HIP 2176,Lyra,2.48,20.58609,-29.90444
HIP 2177,Aquarius,3.78,15.64998,-22.9669
HIP 2178,Cassiopeia,7.37,0.9366,-65.31034
HIP 2179,Andromeda,4.73,16.0104,-71.53302
HIP 2180,Scorpius,4.49,12.70545,-13.13658
HIP 2181,Pegasus,7.32,10.37596,-44.78614
HIP 2182,Leo,6.8,22.75863,65.15404
HIP 2183,Pegasus,1.11,3.23852,-82.39989
HIP 2184,Cassiopeia,1.11,9.14205,-52.94311
HIP 2185,Taurus,4.08,2.6336,51.04141
HIP 2186,Taurus,1.13,20.23545,31.45195
HIP 2187,Ursa Major,2.64,23.62641,-51.77484
HIP 2188,Pegasus,3.98,17.06851,-86.15879
HIP 2189,Aquarius,7.01,19.83364,11.75356
HIP 2190,Cassiopeia,1.91,19.8126,-78.11624
HIP 2191,Cygnus,3.53,21.05302,66.93899
HIP 2192,Cygnus,3.87,18.23903,48.91717
HIP 2193,Taurus,3.85,14.24659,-1.37599
HIP 2194,Pegasus,3.02,21.68019,-6.6038
HIP 2195,Scorpius,6.69,22.66968,11.61359
HIP 2196,Cygnus,1.96,7.36485,10.72149
HIP 2197,Cassiopeia,4.87,18.5221,-22.44667
HIP 2198,Ursa Major,6.98,8.57855,87.46259
HIP 2199,Taurus,5.97,12.63006,15.70787
HIP 2200,Cassiopeia,4.57,7.77938,79.26888
HIP 2201,Leo,5.11,12.12371,-19.35205
HIP 2202,Cassiopeia,3.84,23.38621,-85.09757
HIP 2203,Aquarius,1.65,23.8925,-86.29963
HIP 2204,Draco,3.27,16.40354,-6.64689
HIP 2205,Taurus,5.53,4.6946,-51.30664
HIP 2206,Ursa Major,3.06,23.60568,-53.39152
HIP 2207,Lyra,7.63,10.85789,26.63271
HIP 2208,Ursa Major,1.09,2.38493,-11.03331
HIP 2209,Leo,5.36,7.79731,68.30448
HIP 2210,Cygnus,6.25,22.96902,-70.52851
HIP 2211,Lyra,3.94,5.73964,46.95599
HIP 2212,Orion,5.82,21.28951,-45.91198
HIP 2213,Lyra,1.9,21.80772,62.59309
HIP 2214,Ursa Major,4.17,16.49037,68.36211
HIP 2215,Aquarius,5.42,18.61404,-82.72322
HIP 2216,Scorpius,1.99,11.21694,-23.44461
HIP 2217,Taurus,6.94,1.28593,-5.08862
HIP 2218,Orion,3.22,21.91689,-2.75765
HIP 2219,Scorpius,4.82,4.69676,40.16394
HIP 2220,Andromeda,7.88,10.63628,2.47102
HIP 2221,Taurus,6.24,16.29343,-3.89638
HIP 2222,Leo,6.17,17.27267,23.23403
HIP 2223,Leo,2.64,21.116,-57.72893
HIP 2224,Leo,4.89,14.53998,35.71659
HIP 2225,Scorpius,6.34,16.96987,46.2339
HIP 2226,Taurus,6.84,23.60794,62.52646
HIP 2227,Draco,3.27,11.31143,48.98164
HIP 2228,Leo,1,4.94928,-61.11132
HIP 2229,Scorpius,7.21,22.56688,24.7244
HIP 2230,Leo,1.21,3.43799,78.99375
HIP 2231,Aquarius,4.31,5.00775,-28.54749
HIP 2232,Leo,7.92,6.21981,54.4744
HIP 2233,Draco,7.1,18.67463,82.42517
HIP 2234,Cygnus,4.33,12.46283,24.8878
HIP 2235,Draco,3.35,9.2503,76.74673
HIP 2236,Leo,4.99,11.8809,-40.77295
HIP 2237,Taurus,2.42,0.9332,46.92979
HIP 2238,Ursa Major,2.78,5.61131,-59.7303
HIP 2239,Cassiopeia,6.2,1.14721,4.86438
HIP 2240,Ursa Major,5.49,23.07599,85.15096
HIP 2241,Draco,1.56,12.32354,16.42052
HIP 2242,Andromeda,1.86,17.528,5.80485
HIP 2243,Scorpius,4.56,19.45033,-8.78114
HIP 2244,Orion,6.44,17.10184,-30.22564
HIP 2245,Orion,6.23,8.46751,-73.21195
HIP 2246,Leo,3.28,10.18292,-83.80843
HIP 2247,Lyra,3.91,3.67057,-3.32085
HIP 2248,Draco,1.71,19.98269,80.25464
HIP 2249,Cassiopeia,1.54,6.17654,-25.41635
HIP 2250,Ursa Major,6.51,5.42502,28.61147
HIP 2251,Taurus,2.05,9.74654,-37.20139
HIP 2252,Cygnus,1.82,22.58082,18.89317
HIP 2253,Cassiopeia,5.65,11.34155,57.08358
HIP 2254,Orion,7.16,1.30979,-40.94788
HIP 2255,Ursa Major,5.14,8.93297,53.91297
HIP 2256,Orion,7.75,21.47439,-69.78437
HIP 2257,Draco,1.2,2.37259,86.33412
HIP 2258,Draco,3.48,18.13135,4.38835
HIP 2259,Orion,4.2,6.51326,30.1883
HIP 2260,Orion,5.26,11.11011,-44.62899
HIP 2261,Taurus,4.46,13.21214,29.06166
HIP 2262,Cygnus,6.13,17.4423,-36.10854
HIP 2263,Cygnus,1.18,16.29327,69.8269
HIP 2264,Pegasus,3.86,4.0668,-80.2869
HIP 2265,Scorpius,5.39,0.52837,88.73201
HIP 2266,Lyra,6.87,17.32211,-35.73184
HIP 2267,Lyra,4.78,2.1071,45.9705
HIP 2268,Lyra,1.34,22.04104,70.72257
HIP 2269,Draco,2.77,2.61017,18.5781
HIP 2270,Pegasus,7.39,9.68694,77.16888
HIP 2271,Leo,5.22,6.09022,2.6944
HIP 2272,Lyra,2.18,11.60405,49.52834
HIP 2273,Lyra,5.67,23.40023,-18.90605
HIP 2274,Orion,2.29,7.50828,40.3489
HIP 2275,Pegasus,6.39,9.29181,-2.60404
HIP 2276,Scorpius,6.09,8.45647,6.77827
HIP 2277,Leo,4.1,9.23922,74.96379
HIP 2278,Scorpius,4.15,7.73877,73.9111
HIP 2279,Aquarius,3.92,22.03803,27.96518
HIP 2280,Lyra,3.04,10.30838,-40.16922
HIP 2281,Scorpius,2.7,5.26682,45.49946
HIP 2282,Orion,4.76,2.66157,79.18006
HIP 2283,Aquarius,3.32,19.9419,14.25664
HIP 2284,Orion,1.56,13.82131,-47.0755
HIP 2285,Draco,1.87,10.34881,33.39501
HIP 2286,Cassiopeia,6.88,17.93208,3.97356
HIP 2287,Draco,3.32,21.44419,30.89046
HIP 2288,Leo,3.63,2.90629,-22.64017
HIP 2289,Scorpius,3.52,9.33455,-47.47911
HIP 2290,Scorpius,5.27,6.91998,61.62368
HIP 2291,Pegasus,7.78,9.44583,68.95446
HIP 2292,Andromeda,5.61,14.47459,-39.46393
HIP 2293,Taurus,4.72,23.00925,77.94035
HIP 2294,Aquarius,2.26,3.757,44.12176
HIP 2295,Cassiopeia,2.38,14.57214,44.89211
HIP 2296,Aquarius,5.11,0.39064,-52.23329
HIP 2297,Pegasus,7.3,2.30139,34.55018
HIP 2298,Leo,4.79,13.81415,-23.44698
HIP 2299,Taurus,7.45,12.32628,-86.33432
HIP 2300,Scorpius,6.42,19.11788,-39.23018
HIP 2301,Lyra,4.97,1.39873,-33.17148
HIP 2302,Ursa Major,6.23,3.74316,-36.14185
HIP 2303,Cassiopeia,6.24,23.21644,54.95252
HIP 2304,Pegasus,6.26,9.40358,-8.77381
HIP 2305,Cassiopeia,3.5,15.34861,7.4519
HIP 2306,Andromeda,6.5,3.31172,-74.05178
HIP 2307,Orion,3.73,8.73289,-65.08897
HIP 2308,Lyra,2.84,16.38123,79.23131
HIP 2309,Pegasus,2.99,21.76614,44.52542
HIP 2310,Cygnus,5.47,19.20791,-82.67996
HIP 2311,Cassiopeia,7.17,9.63562,-8.41866
HIP 2312,Taurus,7.64,4.93892,-8.44832
HIP 2313,Cassiopeia,2.15,20.50389,21.2559
HIP 2314,Ursa Major,7.15,4.11351,-58.94726
HIP 2315,Scorpius,6.12,16.47933,-42.1084
HIP 2316,Leo,7.86,5.61501,5.78116
HIP 2317,Taurus,1.59,2.14035,32.8698
HIP 2318,Draco,2.69,9.01746,-7.25787
HIP 2319,Scorpius,4.65,21.29073,60.41899
HIP 2320,Lyra,4.45,18.51855,14.56504
HIP 2321,Ursa Major,8,4.27939,-62.11456
HIP 2322,Cygnus,1.9,6.42316,-55.98501
HIP 2323,Cassiopeia,6.08,13.92155,-0.95934
HIP 2324,Ursa Major,2.67,20.42924,-65.76203
HIP 2325,Aquarius,5.16,1.2011,-67.30703
HIP 2326,Lyra,2.18,11.02419,55.85244
HIP 2327,Pegasus,5.64,14.8308,6.56248
HIP 2328,Aquarius,1.07,3.44718,-19.02854
HIP 2329,Scorpius,1.88,12.73247,63.51448
HIP 2330,Scorpius,5.54,22.60634,-86.55268
HIP 2331,Cygnus,3.43,1.59962,-35.53003
HIP 2332,Pegasus,6.8,9.70733,-41.38619
HIP 2333,Cygnus,6.26,17.26228,-14.0198
HIP 2334,Ursa Major,2.4,17.96152,-9.23964
HIP 2335,Aquarius,3.49,12.032,-69.40829
HIP 2336,Aquarius,4.7,18.85695,-28.9428
HIP 2337,Lyra,1.07,4.55476,-75.53022
HIP 2338,Orion,7.47,14.82515,53.56596
HIP 2339,Lyra,2.45,23.0274,-45.24575
HIP 2340,Taurus,5.43,10.10646,-12.30206
HIP 2341,Leo,6.59,7.24956,-77.76642
HIP 2342,Ursa Major,3.71,14.8235,-81.15611
HIP 2343,Taurus,6.54,3.48522,70.93248
HIP 2344,Orion,2.63,16.45007,-59.54752
HIP 2345,Pegasus,6.6,13.16957,-30.76759
HIP 2346,Orion,3,7.17453,66.52969
HIP 2347,Pegasus,1.42,3.1706,43.84298
HIP 2348,Lyra,7.9,19.87467,72.58051
HIP 2349,Scorpius,4.25,3.23918,-84.07395
HIP 2350,Scorpius,1.16,15.90352,-12.02282
HIP 2351,Cygnus,1.87,7.09321,-56.28009
HIP 2352,Cygnus,5.09,12.61218,50.2044
HIP 2353,Scorpius,4.15,9.31216,-27.01119
HIP 2354,Leo,6.36,9.83557,69.53502
HIP 2355,Pegasus,4.84,8.46256,56.42531
HIP 2356,Scorpius,1.41,2.41561,12.67518
HIP 2357,Aquarius,4.91,19.97872,-52.30568
HIP 2358,Cassiopeia,2.84,14.86634,-26.19414
HIP 2359,Cygnus,2.75,19.93582,26.10324
HIP 2360,Ursa Major,2.97,22.77606,60.0753
HIP 2361,Cassiopeia,7.37,8.34221,-20.48859
HIP 2362,Andromeda,3.8,6.03417,58.93302
HIP 2363,Andromeda,5.7,20.52906,82.55025
HIP 2364,Scorpius,7.89,6.53941,-71.29439
HIP 2365,Ursa Major,3.06,15.44645,-18.16899
HIP 2366,Pegasus,1.9,5.32125,66.03836
HIP 2367,Aquarius,7.38,17.48487,-60.10574
HIP 2368,Taurus,4.98,10.1708,65.19609
HIP 2369,Cassiopeia,7.71,16.3982,-6.17259
HIP 2370,Orion,6.59,22.17659,58.26855
HIP 2371,Cassiopeia,1.91,14.34456,18.84473
HIP 2372,Scorpius,5.7,13.01141,61.80621
HIP 2373,Draco,7.03,15.48943,-8.71419
HIP 2374,Ursa Major,3.6,19.50815,-29.5471
HIP 2375,Taurus,5.56,10.79651,-74.62347
HIP 2376,Scorpius,1.85,7.6987,56.03488
HIP 2377,Lyra,6.66,22.9748,-61.42615
HIP 2378,Draco,7.95,10.07702,75.33496
HIP 2379,Lyra,6.26,17.96779,1.89542
HIP 2380,Ursa Major,7.51,22.24136,19.57322
HIP 2381,Draco,3.73,22.39224,-43.07818
HIP 2382,Andromeda,6.42,7.09381,-38.76298
HIP 2383,Orion,1.44,22.23356,4.58897
HIP 2384,Scorpius,1.89,21.23153,-45.14383
HIP 2385,Scorpius,6.56,23.79969,17.16598
HIP 2386,Ursa Major,5.81,1.15108,-11.84288
HIP 2387,Cygnus,5.23,3.45171,22.76313
HIP 2388,Draco,4.49,7.10879,-22.82341
HIP 2389,Andromeda,2.71,22.19692,-24.9224
HIP 2390,Cygnus,7.53,1.35312,58.06052
HIP 2391,Andromeda,1.21,19.80196,-77.86114
HIP 2392,Taurus,7.26,8.90269,-34.8019
HIP 2393,Aquarius,6.83,18.66316,86.87944
HIP 2394,Draco,2.38,2.40568,-33.08584
HIP 2395,Scorpius,2.31,12.59918,-36.91678
HIP 2396,Ursa Major,2.57,22.47955,-87.4428
HIP 2397,Taurus,5.01,19.0579,55.4071
HIP 2398,Andromeda,1.88,23.80368,29.44687
HIP 2399,Cygnus,4.05,7.85584,-39.27766
HIP 2400,Leo,6.98,21.00542,66.25807
HIP 2401,Lyra,7.13,18.5638,-70.16784
HIP 2402,Leo,5.14,7.13165,14.81736
HIP 2403,Aquarius,7.72,3.14306,-89.9551
HIP 2404,Lyra,2.1,7.06988,26.93437
HIP 2405,Draco,3.53,10.09724,75.23446
HIP 2406,Cygnus,2.82,2.0575,49.92058
HIP 2407,Draco,1.46,23.53426,19.02195
HIP 2408,Cassiopeia,4.12,12.99266,-84.40674
HIP 2409,Orion,3.67,2.4997,-34.11748
HIP 2410,Andromeda,4.53,20.17252,83.23342
HIP 2411,Ursa Major,2.9,11.36696,71.65006
HIP 2412,Cygnus,5.45,9.84629,-25.97998
HIP 2413,Lyra,6.72,2.45922,24.80702
HIP 2414,Cassiopeia,1.95,15.8022,16.25438
HIP 2415,Draco,2.54,1.64746,16.6962
HIP 2416,Orion,7.55,0.7252,-88.92836
HIP 2417,Orion,7.43,17.69093,81.18839
HIP 2418,Taurus,6.2,16.10939,-2.75129
HIP 2419,Cassiopeia,4.08,16.85071,-86.06514
HIP 2420,Cassiopeia,4.76,21.2478,-84.03702
HIP 2421,Aquarius,5.22,14.04976,59.12772
HIP 2422,Pegasus,3.49,14.37108,-36.01231
HIP 2423,Pegasus,1.21,3.02722,-31.91165
HIP 2424,Lyra,3.71,2.86822,-78.57207
HIP 2425,Lyra,3.25,12.77216,65.7889
HIP 2426,Orion,3.87,11.41503,24.80252
HIP 2427,Ursa Major,7.79,0.67941,-1.41164
HIP 2428,Andromeda,1.49,2.16913,-39.91371
HIP 2429,Lyra,2.18,6.13197,-53.19286
HIP 2430,Leo,5.16,7.52035,17.88415
HIP 2431,Lyra,3.51,15.30361,14.7937
HIP 2432,Orion,6.8,18.82141,19.33034
HIP 2433,Andromeda,3.21,3.6722,-73.88539
HIP 2434,Orion,6.26,11.74334,75.14128
HIP 2435,Draco,2.93,3.46462,18.12727
HIP 2436,Draco,5.4,22.02339,8.21149
HIP 2437,Cassiopeia,5.17,23.55369,-50.93256
HIP 2438,Pegasus,1.05,10.41283,12.84691
HIP 2439,Orion,6.65,18.29684,-11.64737
HIP 2440,Aquarius,5.27,12.76409,85.15281
HIP 2441,Orion,4.19,0.81376,-10.6748
HIP 2442,Aquarius,6.61,10.61006,53.4018
HIP 2443,Cassiopeia,6.76,16.40079,-25.17386
HIP 2444,Aquarius,7.89,16.85219,66.21006
HIP 2445,Taurus,1.15,20.76427,-86.92915
HIP 2446,Orion,1.22,1.82581,-10.66623
HIP 2447,Aquarius,1.85,1.65533,-5.22703
HIP 2448,Taurus,1.61,6.97389,10.17644
HIP 2449,Taurus,7.42,18.13432,-28.79223
HIP 2450,Draco,6.5,15.21746,-7.22443
HIP 2451,Andromeda,4.93,20.32471,-37.14957
HIP 2452,Ursa Major,6.18,16.11695,75.21841
HIP 2453,Taurus,1.21,6.1796,19.64315
HIP 2454,Leo,3.47,10.47547,34.47175
HIP 2455,Draco,6,12.21023,14.27138
HIP 2456,Scorpius,5.59,23.04719,40.05778
HIP 2457,Cassiopeia,5.46,18.95029,57.73551
HIP 2458,Andromeda,1.33,16.57946,-42.08079
HIP 2459,Leo,7.4,16.39413,-78.77978
HIP 2460,Draco,1.75,13.28969,-56.64266
HIP 2461,Orion,1.03,0.81309,2.62409
HIP 2462,Cygnus,6.42,9.31766,-67.98581
HIP 2463,Aquarius,6.5,9.43854,-70.77013
HIP 2464,Lyra,3.59,10.55431,49.99828
HIP 2465,Leo,1.43,18.45347,-84.91125
HIP 2466,Pegasus,2.37,9.37983,-59.15868
HIP 2467,Orion,4.15,1.10961,12.75746
HIP 2468,Pegasus,6.52,22.99739,-85.40113
HIP 2469,Taurus,2.16,15.42642,57.21043
HIP 2470,Cassiopeia,4.17,17.77881,20.12849
HIP 2471,Ursa Major,4.63,10.42152,-62.86315
HIP 2472,Pegasus,4.08,12.97813,26.55651
HIP 2473,Cygnus,3.21,0.12053,-43.10161
HIP 2474,Cassiopeia,4.89,14.4565,63.84265
HIP 2475,Pegasus,3.26,20.4791,-6.78916
HIP 2476,Cygnus,1.94,6.91812,18.98754
HIP 2477,Lyra,6,10.83131,67.28633
HIP 2478,Draco,4.49,10.13835,-21.28606
HIP 2479,Draco,5.37,20.30268,23.19997
HIP 2480,Aquarius,6.07,13.00981,-75.60294
HIP 2481,Aquarius,7.04,14.50618,76.54851
HIP 2482,Cassiopeia,7.66,8.48446,-65.49567
HIP 2483,Andromeda,5.21,10.87038,-72.80848
HIP 2484,Lyra,1.47,8.51212,60.27023
HIP 2485,Orion,3.95,18.04897,79.97242
HIP 2486,Pegasus,4.27,0.50455,20.58462
HIP 2487,Leo,4.94,5.45533,73.14632
HIP 2488,Pegasus,3.22,1.79397,44.66196
HIP 2489,Aquarius,1.66,8.7871,53.59999
HIP 2490,Scorpius,1.99,19.49266,-30.02296
HIP 2491,Draco,1.47,9.36111,-61.81739
HIP 2492,Scorpius,4.13,0.51655,24.92814
HIP 2493,Leo,3.35,14.89676,-55.7039
HIP 2494,Aquarius,4.56,17.88817,-80.8693
HIP 2495,Cygnus,7.19,7.66083,49.22021
HIP 2496,Pegasus,6.11,23.97039,-31.36886
HIP 2497,Draco,6.63,5.48865,32.19189
HIP 2498,Pegasus,5.27,15.3321,-5.70414
HIP 2499,Draco,4.28,22.00136,69.10557
HIP 2500,Ursa Major,5.94,16.71498,48.51746
HIP 2501,Andromeda,1.87,20.23537,43.18636
HIP 2502,Ursa Major,7.93,23.73936,-51.86177
HIP 2503,Andromeda,5.77,7.17678,-11.65651
HIP 2504,Andromeda,6.02,8.32484,76.12256
HIP 2505,Cygnus,1.27,19.11406,-5.09677
HIP 2506,Ursa Major,5.67,8.00445,-64.72599
HIP 2507,Taurus,6.77,18.08738,31.1874
HIP 2508,Draco,1.83,23.14209,-48.93694
HIP 2509,Pegasus,2.17,9.33435,64.80099
HIP 2510,Andromeda,4.47,8.28483,-60.59887
HIP 2511,Cygnus,4.17,6.69211,6.54185
HIP 2512,Cassiopeia,5.35,20.81039,49.72777
HIP 2513,Cygnus,7.73,6.12202,61.37124
HIP 2514,Andromeda,7.11,8.62786,-69.34605
HIP 2515,Orion,6.83,17.98047,-17.49401
HIP 2516,Taurus,6.21,16.96484,-77.79084
HIP 2517,Pegasus,6.27,0.94349,-34.48529
HIP 2518,Aquarius,3.51,12.74892,18.80615
HIP 2519,Cygnus,4.84,21.82331,6.73086
HIP 2520,Andromeda,5.36,14.80892,-86.82713
HIP 2521,Draco,4.3,14.48256,-40.73938
HIP 2522,Orion,4.04,5.52993,79.01384
HIP 2523,Ursa Major,2.9,14.38924,85.55543
HIP 2524,Draco,5.12,1.89967,-18.60458
HIP 2525,Cygnus,5.21,1.40074,0.4215
HIP 2526,Leo,5.7,11.14922,-71.60704
HIP 2527,Andromeda,3.84,6.14274,-69.65366
HIP 2528,Aquarius,1.07,9.50973,33.14439
HIP 2529,Pegasus,4.9,2.31846,-11.85813
HIP 2530,Draco,2.23,8.49269,-56.78554
HIP 2531,Pegasus,2.56,16.41218,73.96253
HIP 2532,Pegasus,2.81,9.69776,30.75161
HIP 2533,Andromeda,4.52,3.30056,80.24154
HIP 2534,Cygnus,7.88,20.0589,-37.59795
HIP 2535,Leo,3.95,15.33451,-46.9212
HIP 2536,Andromeda,7.62,8.15545,42.69316
HIP 2537,Leo,3.22,9.55235,-2.40894
HIP 2538,Scorpius,6.11,0.83435,-72.83209
HIP 2539,Lyra,6.74,23.62839,-73.02886
HIP 2540,Andromeda,4.07,1.69206,-25.43901
HIP 2541,Taurus,6.33,18.31453,-28.31618
HIP 2542,Ursa Major,5.75,9.65231,48.38094
HIP 2543,Ursa Major,5.68,23.17964,-32.85077
HIP 2544,Aquarius,2.68,4.60451,77.83433
HIP 2545,Aquarius,5.45,18.64635,-31.28607
HIP 2546,Ursa Major,2.06,12.22878,-81.84732
HIP 2547,Taurus,4.64,21.72443,31.69293
HIP 2548,Ursa Major,7.7,16.45074,-75.81898
HIP 2549,Taurus,2.48,19.20198,80.25337
HIP 2550,Orion,3.46,2.83128,-84.7648
